x_min_pred,x_min_un,y_min_pred,y_min_un,x_max_pred,x_max_un,y_max_pred,y_max_un,class_pred,class_un,true_class
0.6434850096702576,5.960464477539063e-08,0.32348954677581787,2.9802322387695312e-08,0.7790318131446838,5.960464477539063e-08,0.7180119156837463,1.1920928955078125e-07,3,0.0028544473,3
0.06462030112743378,1.4901161193847656e-08,0.23899409174919128,0.0,1.0055601596832275,2.384185791015625e-07,0.3545013666152954,5.960464477539063e-08,4,0.08573525,4
0.41334858536720276,1.1920928955078125e-07,0.08883443474769592,7.450580596923828e-09,0.6833908557891846,1.7881393432617188e-07,0.8490692973136902,1.7881393432617188e-07,2,0.0014874713,2
0.3821762800216675,8.940696716308594e-08,0.0732508972287178,0.0,0.6266413331031799,0.0,0.8367225527763367,2.384185791015625e-07,2,0.002086628,2
0.5147720575332642,0.0,0.09105177968740463,2.2351741790771484e-08,0.7879734039306641,0.0,0.84483402967453,5.960464477539063e-08,2,0.00022527791,2
0.5257120728492737,0.0,0.04649847373366356,0.0,0.7985200881958008,0.0,0.7869408130645752,1.1920928955078125e-07,2,0.00035622375,2
0.20779220759868622,4.470348358154297e-08,0.05769689008593559,3.725290298461914e-09,0.4267323911190033,0.0,0.8656393885612488,5.960464477539063e-08,3,5.6535704e-05,3
0.41127070784568787,8.940696716308594e-08,0.1475657820701599,1.4901161193847656e-08,0.6462372541427612,1.1920928955078125e-07,0.9087020754814148,1.1920928955078125e-07,2,0.0015677474,2
0.7447831034660339,1.7881393432617188e-07,0.2744012475013733,5.960464477539063e-08,0.9775620698928833,0.0,0.5056374669075012,0.0,1,0.05769616,1
0.8280494809150696,1.7881393432617188e-07,0.1301569789648056,1.4901161193847656e-08,0.85624760389328,5.960464477539063e-08,0.14881660044193268,0.0,9,0.0478901,9
0.5261694192886353,5.960464477539063e-08,-0.03389797359704971,7.450580596923828e-09,0.6989526152610779,0.0,0.2796948552131653,2.9802322387695312e-08,0,0.0024785507,0
0.4162236154079437,5.960464477539063e-08,0.09831941872835159,1.4901161193847656e-08,0.6748626232147217,1.7881393432617188e-07,0.8710325360298157,2.384185791015625e-07,2,0.00018620469,2
